"hospital_code","service_plan","bed_all","bed_icu","bed_nicu","bed_ccu","bed_icu_otherwards","bed_icu_all","operation_room","cmi_2015","ip_2015","day_spent_2015","totaladjrw_2015","op_visit_2015"
10674,"A",788,32,8,6,0,46,14,1.75,73719,308721,129114.8,979282
11192,"M2",101,4,0,0,0,4,2,0.7,9744,36100,6825.12,255343
11194,"M2",97,0,0,0,0,0,4,0.68,10432,33414,7085.41,177721
11189,"F1",66,0,0,0,0,0,1,0.61,5138,16759,3122.88,170314
11190,"F1",118,0,0,0,0,0,2,0.69,11103,34285,7008.65,315366
11196,"F1",64,0,0,0,0,0,1,0.53,6161,17965,3257,177919
11454,"F1",68,0,0,0,0,0,2,0.64,5472,23966,3228.37,142300
11199,"F2",34,0,0,0,0,0,0,0.61,2097,7148,1288.19,87469
11193,"F2",60,0,0,0,0,0,1,0.54,4577,13384,2449.61,92774
11191,"F2",30,0,0,0,0,0,0,0.64,2273,6645,1455.63,96655
11197,"F2",48,0,0,0,0,0,1,0.63,3106,9981,1969,131213
11200,"F2",30,0,0,0,0,0,0,0.52,2507,7019,1311.41,57766
11201,"F2",30,0,0,0,0,0,1,0.74,2422,5651,1800.27,74532
11195,"F2",59,0,0,0,0,0,0,0.55,5833,21413,3229,170205
11198,"F2",30,0,0,0,0,0,0,0.44,2234,6073,990,90777
11202,"F2",30,0,0,0,0,0,1,0.64,2528,7036,1622.72,72109
15012,"F2",30,0,0,0,0,0,1,0.72,2882,8029,2073.95,148630
28823,"F3",0,0,0,0,0,0,0,NA,NA,NA,NA,NA
10713,"A",609,69,24,12,0,105,18,1.85,51048,277340,94211.54,640128
11119,"M1",210,10,6,0,0,16,4,1.15,16814,67367,19254,324003
11125,"M1",210,8,8,0,0,16,7,1.08,13915,61196,15137,308430
11130,"M2",46,0,14,0,0,14,2,0.81,6752,27986,5481,172067
11128,"M2",160,7,0,0,5,12,4,0.98,13314,42381,1300.49,269011
11121,"F1",89,0,0,0,0,0,1,0.62,6998,21526,4351,165379
11131,"F1",88,0,0,0,0,0,2,0.76,7512,29990,5758.57,182269
11137,"F2",45,0,0,0,0,0,1,0.55,3435,10718,1892,97891
11133,"F2",30,0,0,0,0,0,0,0.57,3081,7321,1761,77454
11122,"F2",60,0,0,0,0,0,1,0.65,4513,15632,2954,130503
11643,"F2",30,0,0,0,0,0,0,0.65,1793,6723,1161,57572
11120,"F2",60,0,0,0,0,0,2,0.47,4826,10455,2314.87,98557
11127,"F2",67,0,0,0,0,0,1,0.61,4151,12934,2513,118868
11123,"F2",62,0,0,0,0,0,1,0.61,4873,15924,2956,137428
